rank,movie,year,scene,key_line,themes,youtube_search,status
1,Pulp Fiction,1994,Jules' Ezekiel 25:17 speech,The path of the righteous man,"faith, violence, redemption",Pulp Fiction Jules Ezekiel speech scene,completed
2,The Dark Knight,2008,Why so serious? interrogation,Wanna know how I got these scars?,"chaos, origin, anarchy",The Dark Knight Joker interrogation scene,completed
3,The Godfather,1972,I'm gonna make him an offer,I'm gonna make him an offer he can't refuse,"power, family, loyalty",The Godfather offer scene,completed
4,The Matrix,1999,Red pill / blue pill,You take the blue pill... the story ends,"reality, choice, illusion",The Matrix red pill blue pill scene,pending
5,Fight Club,1999,First rule of Fight Club,The first rule of Fight Club is you do not talk about Fight Club,"consumerism, masculinity, identity",Fight Club first rule scene,pending
6,The Shawshank Redemption,1994,Rooftop beer scene,Get busy living or get busy dying,"hope, institutionalization, freedom",Shawshank Redemption rooftop scene,pending
7,Goodfellas,1990,Funny how? / Copa tracking shot,Funny how? Funny like a clown?,"tension, loyalty, masculinity",Goodfellas funny how scene,pending
8,Taxi Driver,1976,You talkin' to me? mirror scene,You talkin' to me?,"alienation, masculinity, loneliness",Taxi Driver you talking to me scene,pending
9,The Empire Strikes Back,1980,I am your father,No I am your father,"twist, mythology, paternity",Empire Strikes Back I am your father scene,pending
10,Casablanca,1942,Here's looking at you kid / La Marseillaise,Here's looking at you kid,"sacrifice, wartime, romance",Casablanca heres looking at you kid scene,pending
11,A Few Good Men,1992,You can't handle the truth,You can't handle the truth!,"duty, honor, justice",A Few Good Men you cant handle the truth scene,pending
12,There Will Be Blood,2007,I drink your milkshake!,I drink your milkshake!,"capitalism, greed, obsession",There Will Be Blood I drink your milkshake scene,pending
13,Whiplash,2014,Not quite my tempo,Not quite my tempo,"ambition, abuse, perfection",Whiplash not quite my tempo scene,pending
14,The Social Network,2010,I'm CEO bitch / depositions,I'm CEO bitch,"technology, ambition, betrayal",The Social Network Im CEO bitch scene,pending
15,Network,1976,I'm mad as hell monologue,I'm mad as hell and I'm not going to take this anymore,"media, outrage, propaganda",Network Im mad as hell scene,pending
16,Glengarry Glen Ross,1992,Coffee is for closers,Coffee is for closers,"capitalism, desperation, masculinity",Glengarry Glen Ross coffee is for closers scene,pending
17,The Big Lebowski,1998,The Dude abides / rug scene,The Dude abides,"nihilism, zen, identity",The Big Lebowski rug scene,pending
18,Gone Girl,2014,Cool girl monologue,I was the cool girl,"gender, identity, media",Gone Girl cool girl monologue scene,pending
19,The Shining,1980,Here's Johnny! / maze,Here's Johnny!,"madness, isolation, trauma",The Shining heres Johnny scene,pending
20,Jaws,1975,Indianapolis speech / bigger boat,We're gonna need a bigger boat,"trauma, fear, monster",Jaws Indianapolis speech scene,pending
21,The Usual Suspects,1995,The greatest trick the devil ever pulled,The greatest trick the devil ever pulled was convincing the world he didn't exist,"deception, identity, crime",Usual Suspects devil trick scene,pending
22,Reservoir Dogs,1992,Like a virgin / ear scene,Like a virgin,"tension, violence, morality",Reservoir Dogs ear scene,pending
23,Apocalypse Now,1979,Napalm in the morning / Kurtz monologue,I love the smell of napalm in the morning,"war, madness, morality",Apocalypse Now napalm in the morning scene,pending
24,Full Metal Jacket,1987,Drill instructor scene,I am in a world of shit,"dehumanization, war, duality",Full Metal Jacket drill instructor scene,pending
25,American Psycho,2000,Business card scene,Look at that subtle off-white coloring,"satire, capitalism, materialism",American Psycho business card scene,pending
26,Jurassic Park,1993,Life finds a way / T-Rex breakout,Life finds a way,"chaos, science, nature",Jurassic Park life finds a way scene,pending
27,The Silence of the Lambs,1991,A census taker tried to test me,A census taker tried to test me once I ate his liver with fava beans and a nice chianti,"intelligence, evil, psychology",Silence of the Lambs fava beans scene,pending
28,The Truman Show,1998,Good morning! / sail discovery,Good morning and in case I don't see ya good afternoon good evening and good night,"reality, media, freedom",The Truman Show good morning scene,pending
29,Inception,2010,An idea is like a virus / totem,An idea is like a virus,"reality, dreams, mind",Inception idea is like a virus scene,pending
30,Terminator 2,1991,Hasta la vista baby / thumbs up,Hasta la vista baby,"sacrifice, fate, humanity",Terminator 2 hasta la vista scene,pending
31,Eternal Sunshine of the Spotless Mind,2004,Meet me in Montauk,Meet me in Montauk,"memory, loss, relationships",Eternal Sunshine meet me in Montauk scene,pending
32,The Princess Bride,1987,My name is Inigo Montoya / Inconceivable,My name is Inigo Montoya you killed my father prepare to die,"revenge, parody, romance",Princess Bride Inigo Montoya scene,pending
33,Mean Girls,2004,She doesn't even go here! / bus scene,She doesn't even go here,"satire, teen, identity",Mean Girls she doesnt even go here scene,pending
34,When Harry Met Sally,1989,I'll have what she's having / diner scene,I'll have what she's having,"romance, gender, friendship",When Harry Met Sally orgasm scene,pending
35,Rocky,1976,Running up steps / Adrian!,Adrian!,"underdog, determination, american dream",Rocky running up steps scene,pending
36,The Sixth Sense,1999,I see dead people,I see dead people,"twist, death, psychology",Sixth Sense I see dead people scene,pending
37,Back to the Future,1985,1.21 gigawatts / Johnny B Goode,1.21 gigawatts,"time travel, nostalgia, sci-fi",Back to the Future Johnny B Goode scene,pending
38,Scarface,1983,Say hello to my little friend,Say hello to my little friend,"excess, crime, downfall",Scarface say hello to my little friend scene,pending
39,The Wizard of Oz,1939,There's no place like home / color transition,There's no place like home,"home, imagination, courage",Wizard of Oz theres no place like home scene,pending
40,Aliens,1986,Get away from her you bitch,Get away from her you bitch,"motherhood, horror, heroism",Aliens get away from her you bitch scene,pending
